133.2866 33.392 WI N.SSKH HHZ -0.1
136.8267 36.5209 WI DP.FMJ HHZ 0.29
132.2326 34.5716 WI N.TGUH HHZ 0.161
133.789 34.7783 WI N.OKYH HHZ -0.1
132.798 33.3348 WI N.HIYH HHZ 0.029
135.90475 34.85214 WI DP.UJT HHZ 0.29
132.4823 33.3856 WI GS.UWA2 HHZ 0.018
137.3123 36.2263 WI NIUKAW HHZ 0.775
135.5606 34.9787 WI DP.BWC6 HHZ 0.328
135.6122 35.0855 WI DP.KK26 HHZ 0.396
132.7962 35.1999 WI DP.ST24 HHZ 0.314
132.9524 34.7016 WI N.KSAH HHZ 0.234
136.4563 34.9849 WI N.YOKH HHZ 0.15
132.4063 34.209 WI N.OKMH HHZ -0.062
132.948 34.5482 WI N.DWAH HHZ 0.259
135.3244 34.1314 WI N.NKMH HHZ 0.02
134.0676 34.1602 WI DP.SON HHZ 0.286
136.9385 34.7401 WI N.MCTH HHZ -0.082
137.9305 36.0088 WI N.TTNH HHZ 0.718
137.5738 35.8644 WI DP.OT73 HHZ 1.052
135.4151 35.1357 WI DP.KK02 HHZ 0.195
132.9529 35.2045 WI DP.ST45 HHZ 0.176
135.7578 35.3412 WI DP.BWA2 HHZ 0.645
137.535 35.1543 WI N.STRH HHZ 0.553
135.7402 35.2071 WI DP.BWE7 HHZ 0.349
133.9493 34.2186 WI N.AYKH HHZ -0.029
135.57068 34.86324 WI DP.ABU HHZ 0.138
133.84643 35.09168 WI DP.QMT HHZ 0.33
136.9276 36.8866 WI N.HIMH HHZ -0.172
132.8488 35.5005 WI SAKAUR HHZ 0.166
135.4326 35.1049 WI DP.BWA6 HHZ 0.174
135.7052 34.763 WI N.KTNH HHZ 0.04
135.051 34.8102 WI MIKI HHZ 0.16
137.8594 36.644 WI N.HKKH HHZ 0.698
133.1444 33.6472 WI N.IKKH HHZ 0.16
135.7934 34.9931 WI DP.KK06 HHZ 0.227
132.758 35.3114 WI DP.ST04 HHZ 0.029
133.4723 35.4598 WI DP.ST41 HHZ 0.132
136.0512 34.6413 WI N.YZEH HHZ 0.176
137.5933 35.9059 WI DP.OT77 HHZ 1.041
134.0918 34.0112 WI N.SADH HHZ 0.089
137.4114 34.9512 WI N.TDEH HHZ 0.444
136.2736 34.239 WI KIHOKU HHZ 0.08
132.9891 33.2683 WI N.TSYH HHZ 0.169
135.043 35.2285 WI DP.HMT2 HHZ 0.15
135.9534 34.9453 WI DP.BWE4B HHZ 0.122
136.8732 35.9514 WI N.TSUH HHZ 0.508
135.21072 35.03454 WI DP.TNJ HHZ 0.315
135.5369 34.1373 WI N.HNZH HHZ 0.3
135.1645 34.1942 WI E.WKME HHZ 0.005
133.4506 34.9994 WI DP.ST39 HHZ 0.228
137.7669 35.9632 WI N.KSOH HHZ 0.855
137.8201 36.3824 WI N.HOTH HHZ 0.613
137.9359 35.1981 WI N.MSKH HHZ 0.77
136.7168 36.2667 WI N.OKCH HHZ 0.453
132.5552 33.0556 WI N.TSMH HHZ 0.274
133.19899 35.10537 WI DP.TRT HHZ 0.48
136.3169 35.48176 WI DP.AZJ HHZ 0.26
133.0658 33.9023 WI N.TBRH HHZ -0.186
132.7223 35.2243 WI N.SDAH HHZ 0.009
